"Include","Confidence","Name","Brand","Model","Category","Description","ImagePath","ImageUrl","SourcePage","SourceRawFile","ListingType","CallForPrice","Quantity","Status","Published","Featured","DisplayOrder"
"YES","85","or visit store to purchase!","","","","!","images/kraft/con_front_trowels.gif","https://billsequipment.mydomain.com/images/kraft/con_front_trowels.gif","https://billsequipment.mydomain.com/finishers.htm","raw/0054-finishers.html","product","YES","1","active","YES","NO","110"
"YES","90","SDS-max® Demolition Hammer","","11318EVS","","! | | |  | Model 11318EVS | Features: | *SDS-max® bit system - tool-free bit changes with automatic bit locking, dust protection and maximum impact energy transfer rate | *Auto-Max® dial - variable speed dial designed to automatically insure the maximum speed and power every time the tool is plugged in | *Constant ResponseTM Circuitry - Provides soft-start, maintains constant speed under load, provides overload protection | *Service MinderTM light - indicates when preventative maintenance is required | *Power light - ensures operator that power feed is live | *Vario-LockTM positioning - rotates and locks chisel into 12 different positions to optimize working angle | *Innovative service modules - designed so a qualified service technician can quickly replace the brushes and cord | *Patented cord turret - provides added flexibility and reduces cord wear | *Vibration dampening handle - reduces vibration up to 40%, providing uncompromising user comfort for extended periods of work | *Grounded design, UL listed, complies to OSHA","images/bosch/11318EVS.jpg","https://billsequipment.mydomain.com/images/bosch/11318EVS.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","120"
"YES","90","SDS-max® Demolition Hammer","","11316EVS","","Model 11316EVS | Features: | *SDS-max® bit system - tool-free bit changes with automatic bit locking, dust protection and maximum impact energy transfer rate | *Variable-speed dial - for controlled chipping applications | *Constant ResponseTM Circuitry - Provides soft-start, maintains constant speed under load, provides overload protection | *Service MinderTM light - indicates when preventative maintenance is required | *Vario-LockTM positioning - rotates and locks chisel into 12 different positions to optimize working angle | *Padded rear handle - absorbs shock for operator comfort | *360° Auxiliary handle - provides a wide range of movement along with operator comfort | *Double insulated, UL listed, complies to OSHA | | | | !","images/bosch/11316EVS.jpg","https://billsequipment.mydomain.com/images/bosch/11316EVS.jpg","https://billsequipment.mydomain.com/bosch.htm","raw/0055-bosch.html","product","YES","1","active","YES","NO","130"
"YES","95","Americana 4-point Suspension | Meets ANSI z89.1, Type 1, Class C, E and G Requirements","","Z107","Safety Equipment","Hi-Viz Yellow and Hi-Viz Lime meet the chromaticity and luminance requirements for background material in ANSI Z107. | !","images/ERB/ERB hats 1.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20hats%201.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","140"
"YES","90","Description","","","Safety Equipment","! | 21 Series | A locking snaphook spliced to one end only, | perfect for use as a lifeline. | Model # |  | Usage","images/gemtor/2122L.gif","https://billsequipment.mydomain.com/images/gemtor/2122L.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","150"
"YES","95","Economy - Class 2 (S363)","","S363","Safety Equipment","Economy - Class 2 (S362) | ! | |  | !","images/ERB/ERB vests_Economy - Class 2 S362.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20vests_Economy%20-%20Class%202%20S362.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","160"
"YES","95","Economy - Class 2 (S368)","","S368","Safety Equipment","!","images/ERB/ERB vests_Economy - Class 2 S388.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20vests_Economy%20-%20Class%202%20S388.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","170"
"YES","95","Hi-Viz Rain Wear - Class 3 (S371)","","S371","Safety Equipment","!","images/ERB/ERB Hi-Viz Rain Wear - Class 3 - S371.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20Hi-Viz%20Rain%20Wear%20-%20Class%203%20-%20S371.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","180"
"YES","95","Hi-Viz Rain Wear - Class 3 (S373PT)","","S373PT","Safety Equipment","Hi-Viz Rain Wear - Class 3 (S373) | ! | |  | !","images/ERB/ERB Hi-Viz Rain Wear - Class 3 - S373.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20Hi-Viz%20Rain%20Wear%20-%20Class%203%20-%20S373.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","190"
"YES","95","Jackets - Class 3 (S374)","","S374","Safety Equipment","Jackets - Class 3 (S372) | ! | | |  | !","images/ERB/ERB Jackets - Class 3 - S372.jpg","https://billsequipment.mydomain.com/images/ERB/ERB%20Jackets%20-%20Class%203%20-%20S372.jpg","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","200"
"YES","90","Model # 955H (shown)","","","Safety Equipment","Model # 955 | Sub-pelvic, polyester full-body harness with foam back pad, and removable, heavy-duty tongue buckle waist belt. Other features include adjustable shoulder straps and quick connect chest and leg straps. |  - Same as #955 except with Positioning D-rings on back pad. | !","images/gemtor/955h.gif","https://billsequipment.mydomain.com/images/gemtor/955h.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","210"
"YES","95","Model # SP1101EL6","","SP1101EL6","Safety Equipment","Expanding Soft-Pack energy absorber with 1"" wide x 6' long polyester web lanyard with a locking snaphook at each end. Retracts to 4 ½' when not in use. | !","images/gemtor/sl1101el_nb.gif","https://billsequipment.mydomain.com/images/gemtor/sl1101el_nb.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","220"
"YES","95","Model # SP1101L","","SP1101L","Safety Equipment","Soft-Pack energy absorber with 1"" wide polyester web lanyard with a locking snaphook at each end | !","images/gemtor/sp1101l_nb.gif","https://billsequipment.mydomain.com/images/gemtor/sp1101l_nb.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","230"
"YES","95","Model # SP202L","","SP202L","Safety Equipment","Soft-Pack energy absorber with ¼"" diameter vinyl coated galvanized steel cable lanyard with locking snaphooks at each end. | !","images/gemtor/sp202l_nb.gif","https://billsequipment.mydomain.com/images/gemtor/sp202l_nb.gif","https://billsequipment.mydomain.com/safetyequipment.htm","raw/0049-safetyequipment.html","product","YES","1","active","YES","NO","240"
