"Name","Brand","Model","Category","ProductAction","ProductId","ImageAction","ImageUrl","Error"
"AP2000 Series","MBW","AP2000","Compaction Equipment","inserted","4c0cffce-484f-445c-9036-1ee232c04eda","none","https://billsequipment.mydomain.com/images/mbw/ap2000.jpg","The remote server returned an error: (400) Bad Request."
"GP3000","MBW","GP3000","Compaction Equipment","inserted","8d9abe1c-8fc3-41b3-a3ee-33596bec9998","none","https://billsequipment.mydomain.com/images/mbw/gp3000.jpg","The remote server returned an error: (400) Bad Request."
"Scoot-Crete MB11 (Walk-Behind Power Buggie)","Miller","MB11","Compaction Equipment","failed","","none","https://billsequipment.mydomain.com/images/miller/mb11.gif","The remote server returned an error: (400) Bad Request."
"MVC-88","Multiquip","MVC-88","Compaction Equipment","inserted","c42f3dd1-ee1e-4343-985f-be85df805d9f","none","https://billsequipment.mydomain.com/images/multiquip/Mvc88.gif","The remote server returned an error: (400) Bad Request."
"MVH-120","Multiquip","MVH-120","Compaction Equipment","inserted","d0f25694-bcb4-43e2-a4be-b6252128a32d","none","https://billsequipment.mydomain.com/images/multiquip/MVH-120.gif","The remote server returned an error: (400) Bad Request."
"MVH-R60","Multiquip","R60","Compaction Equipment","inserted","60186510-ef98-47a2-8718-2bb676691872","none","https://billsequipment.mydomain.com/images/multiquip/MVH-R60.gif","The remote server returned an error: (400) Bad Request."
"BS 50-2i | 280mm/11in Shoe, Oil-injected Vibratory Rammer","Wacker","","Compaction Equipment","inserted","240b91ed-1118-4c28-b165-a4c054ed3f30","none","https://billsequipment.mydomain.com/images/wacker/bs50.jpg","The remote server returned an error: (400) Bad Request."
"BS 52Y | Vibratory Rammer with 254mm/10in Shoe","Wacker","","Compaction Equipment","inserted","66ae8e25-0c00-4889-a2dc-cf0bd03c8e82","none","https://billsequipment.mydomain.com/images/wacker/bs52y.jpg","The remote server returned an error: (400) Bad Request."
"BS 60-2i | 280mm/11in Shoe, Oil-injected Vibratory Rammer","Wacker","","Compaction Equipment","inserted","b7d003c9-45b1-41bd-b561-782332c6eab4","none","https://billsequipment.mydomain.com/images/wacker/bs60.jpg","The remote server returned an error: (400) Bad Request."
"BS 70-2i | 330mm/13in Shoe, Oil-injected Vibratory Rammer","Wacker","","Compaction Equipment","inserted","2e415b77-517d-4238-9d39-adf47a662784","none","https://billsequipment.mydomain.com/images/wacker/bs70.jpg","The remote server returned an error: (400) Bad Request."
