"Name","ProductAction","ProductId","ImageAction","Stage","Error"
"Lift, Telescopic Type, 30' Working Height, 300 lbs Capacity","already imported","715774ae-3ea0-4456-82c0-aee1518d6d5a","uploaded + linked","done",""
"XLB-4232-HONDA GAS | Lift, Towable Boom Type, 42' Working Height, 300 lb Capacity","already imported","6593868f-981d-4db8-ba87-27522d549996","uploaded + linked","done",""
"XlB-4725A-HONDA | Lift, Towable Boom Type, 47' Working Height, 400 lb Capacity","already imported","1b0b703e-bef8-4f84-9b7a-36a3a579ebc9","uploaded + linked","done",""
